id,source_page,frame,subframe,topic,question_reconstructed,answer_vibs_report_reflection,expected_interpretation_noexcuse_sammenheng,opportunities
NE-11,16,Identitet,Attraksjon,Preferansefaktorer,Hva er status for preferansefaktorer i virksomheten?,Daglig leder sier at “Alle er allergiske mot abonnement - slik at alle vil betale kun en forholdsvis lav kostnad”. Det kan se ut som det går mot fastpris.,"Oppfatninger av virksomhetens identitet, og hva det er som gjør at virksomheten fremstår som forskjellig fra konkurrenter i markedet, er avgjørende faktorer for å bli det foretrukne valget. Identiteten peker ut sannsynlige muligheter og handlinger.",Sørg for unike kundeopplevelser [Middels/Middels] | Sørg for å ha en tydelig profil [Høy/Middels] | Tilby innovative tjenester og tilleggstilbud [Høy/Middels]
NE-12,17,Identitet,Attraksjon,Preferanseattributter,Hva er status for preferanseattributter i virksomheten?,"Daglig leder mener at trygghet er avgjørende faktor, så en gratis inngang blir viktig. Her må virksomheten ut for å spørre innser de selv.",Følelser og assosiasjoner forbundet med identiteten virker på samme måte som preferansefaktorer til fordel for å gjøre identiteten tiltrekkende og attraktiv.,Gjennomfør brukerundersøkelser regelmessig [Høy/Høy] | Vurder internt i ledergruppen regelmessig virksomhetens preferanseattributter [Middels/Middels]
NE-13,18,Identitet,Troverdighet,Kongruens i ord og handling,Hva er status for kongruens i ord og handling i virksomheten?,Virksomheten har blitt møtt av Sintef som var overrasket over at deres forretningsidé ikke finnes i markedet allerede. Dette er åpenbart troverdig og innovativt.,Beskrivelse av i hvilken grad kommunikasjon om produktet og selve produktet som leveres svarer til hverandre. Innebefattet også hvordan vi omtaler produktet sett i lys av kommunikasjon for øvrig.,Gjennomfør markedsanalyse [Middels/Middels] | Definer «adferd i praksis» gjennom fx verdiplakater og i møter. Forklar på hvilken måte tillit kan skapes [Middels/Middels] | Sørg for at ledere er rollemodeller (Walk the talk) [Lav/Høy]
NE-14,19,Identitet,Troverdighet,Selvsagt soliditet,Hva er status for selvsagt soliditet i virksomheten?,Det å få på plass en MVP (en minste levedyktige løsning) som de kan gå ut i markedet med vil være avgjørende. For håpentligvis vil det vise at de er en seriøs aktør og at det gir troverdighet. En idé er å få en bank el. til å teste løsningen.,En beskrivelse av hvordan det jobbes overfor kundene på en tydelig måte i hvilken grad de kan ha tillit til lovnaden om produktet og det som faktisk leveres.,Definer en prosedyre for å måle soliditet regelmessig [Middels/Middels] | Anerkjenn de som leverer kvalitet konsekvent og som løser problemer [Middels/Høy] | Legg opp til samarbeid og støtt under teamfølelse [Lav/Middels]
NE-15,20,Identitet,Langsiktighet,Kjerneidentitet i utstrekning,Hva er status for kjerneidentitet i utstrekning i virksomheten?,Virksomheten vil bli assosiert med begreper som “ærlige” og “no fluff” og det ønsker de å holde på.,"Sikre at virksomheten har definert de delene av identiteten som skal være stabile over tid, til tross for endringer i markedet, virksomhetens premisser og produktets utforming. Målet er å sikre at tydelighet i seg selv og stabilitet over tid.",Gjennomfør internt arbeidsmøte for å tydeliggjøre vår kjerneidentitet og hvordan bruke dette aktivt [Middels/Middels] | Forankre identiteten i bedriftskulturen [Lav/Middels] | Integrer merkevarestrategi med virksomhetsstrategi [Middels/Høy] | Evaluer og juster identiteten uten å miste kjernen [Middels/Lav]
NE-16,21,Identitet,Langsiktighet,Kjerneidentitet i form,Hva er status for kjerneidentitet i form i virksomheten?,Da intervjuet fant sted var selskapet kun et par måneder gammelt. Har ikke rukket å gjøre så mange tabber ennå.,"Noen ganger kan det være fristende å starte opp virksomheten på nytt med “blanke ark”. En sammenheng der vi kan se bort fra dårlige historiske valg, tabber og elementer som forkludrer vår identitet i dag.",Gjennomfør et arbeidsmøte med mål om å tydeliggjøre vår kjerneidentitet [Lav/Middels] | Definer og lev verdiene (employer branding) [Middels/Middels] | Etabler en åpen og tydelig kommunikasjonskultur [Middels/Middels] | Sørg for kompetanseutvikling og livslang læring [Middels/Høy]
NE-17,22,Struktur,Beslutninger,Organisering av myndighet,Hvordan er beslutningsmyndighet og mandat organisert i virksomheten?,Det et tydelig økonomisk mandat. Daglig leder tar i all hovedsak de beslutninger som trengs å tas. Selv med en investorstrategi er det en noe utydelig rolleavklaring.,Sikre at alle ansatte vet hva de har av myndighet til å gjøre uten å måtte spørre nærmeste leder. Dette er med på å skape en trygghet. Legg en plan for å håndtere avvik fra forventninger og myndighet – dette kan gå begge veier.,Undersøk med lederne i hvilken grad de føler myndighet [Lav/Middels]
NE-18,23,Struktur,Beslutninger,Eierskapets betydning,Hva er status for eierskapets betydning i virksomheten?,"Intervjugruppen er gründere og oppstartsgruppen, som dermed har et selvsagt eierskap og forhold til innsatsen. Det er en sterk indre motivasjon for å løse et problem.","Ulike eierskap av virksomheter kan påvirke virksomheten og de som jobber der, ofte mer eller mindre ubevisst. Sjekk gjerne særtegn med eierskapsformen og særtegn med denne opp mot opplevd eierskap.",Jobb med målstyrt ledelse [Middels/Høy] | Sikre at virksomhetens strategi er kjent i ledergruppen [Middels/Middels]
NE-19,24,Struktur,Beslutninger,Tjenestevei,"Hvordan fungerer tjenestevei, rapportering og ansvarslinjer i praksis?",Per tid er virksomheten for liten (3 personer). Derimot er refleksjonene rundt emnet om 2-3 år med flere ansatte interessant. Her ser man for seg at alle vil jobbe utenom tjenesteveier og at det vil være positivt med tanke på at det er flat struktur. Viktig å huske på visjon og verdier når det skal rekrutteres i fremtiden.,"Det er generelt en fordel at rapportering som regel følger tjenestevei. Det kan oppleves som forutsigbart og være en stor fordel spesielt i tilfeller der ansvar, oppgaver og rapportering settes på prøve",Undersøk i hvilken grad det rapporteres etter tjenestevei [Middels/Lav] | Etabler tydelige og skriftlige rutiner [Middels/Middels] | Lag tydelige organisasjonskart og ansvarslinjer [Lav/Middels] | Sikre god opplæring og onboarding [Lav/Høy] | Tren på avvikshåndtering [Middels/Middels]
NE-20,25,Struktur,Beslutninger,Ansattes autonomi,"Hvor stor autonomi skal ansatte ha, og hvordan avgrenses den?","Det er viktig for gründerne at kommunikasjon skjer uten flaskehalser i en flat struktur. Problemstillinger som oppstår i denne første fasen, vil handle om å kunne snu seg raskt og da må autonomi råde gjennom kompetente og motiverte medarbeidere.","Noen ganger er det en fordel at de faste tjenesteveiene omgås, dette kan det være lurt å avklare, slik at det avviksregistreres og håndteres i eventuelle nye beskrivelser","Undersøk i hvilken grad det rapporteres utover tjenestevei [Middels/Lav] | Utvikle ledere til å delegere ansvar, ikke bare oppgaver [Middels/Høy] | Tilrettelegg for fleksible arbeidshverdager [Middels/Middels] | Etabler en åpen og støttende kommunikasjon [Middels/Høy]"
NE-21,26,Struktur,Beslutninger,Utenfor normal drift,Hva er status for utenfor normal drift i virksomheten?,I dag driftes virksomheten fleksibelt. Mye av innsatsen gjøres ved siden av ordinært arbeid på kvelder og i helger. Det er behov for å strukturere dette noe mer opp med flere ansatte i virksomheten.,Normalt defineres det en driftstid. Dette kan innebære både tidspunkt der produksjonen skjer kontrollert og utenfor løpende kontroll. Utover produksjonstid kan en se på tidsrom der vi er tilgjengelige for kunder og andre. I ytterste konsekvens kan vi være nødt til å stille opp helt ekstraordinært ved for eksempel uønskede hendelser. Utfordringen som det sees på her er i hvilken grad de som er i drift er i stand til å ta raske beslutninger,Kartlegg graden av drift utover normal tid [Lav/Lav] | Kartlegg typen beslutninger som må tas utover normal tid [Lav/Middels]
NE-22,27,Struktur,Beslutninger,Leverandører,Hva er status for leverandører i virksomheten?,Det skal jobbes med å kvalitetssikre relasjonene slik at styrken i relasjonene skal gå begge veier med tydelig dekningsbidrag (“cut”) og motivasjon (“what’s in it for me”). Det skal bygges sterke mellommenneskelige relasjoner og gå begge veier. Ryddig forhold til kontrakter og fakturering.,I en verdikjede er vi avhengige av leverandører enten direkte eller indirekte. I de tilfellene der uforutsette hendelse oppstår settes gjerne slike relasjoner på prøve. I hvilken grad disse stiller opp vil ofte avhenge av avtalemessige eller kommersielle forhold. Vi er uansett avhengige av et positivt bidrag,Gjennomgå leverandøravtaler [Lav/Lav] | Evaluer uforutsette hendelser der vi har vært avhengige av at leverandører bidrar positive og deres bidrag [Lav/Lav]
NE-23,28,Struktur,Måling,Målbarhet,Hva er status for målbarhet i virksomheten?,"Emnet er ikke avklart i ledergruppen, så det utløste en diskusjon. Det ble enighet om å utvikle en løsning som en standard i markedet. Det er et ønske om å vektlegge styrken i konkrete og praktisk bruk av måling. Ulike parameter som kan måles; antall kunder, antall prosjekter, omsetning, kvalitetstall (eks. oppetid), Co2-reduksjon osv.","Å jobbe målstyrt har for mange virksomheter vist seg å bidra positivt til styring og ledelse, motivasjon og feiring. Mange anbefaler at det jobbes etter prinsipper som fx. SMARTE mål.",Innfør balance scorecard [Middels/Middels] | Definer de viktigste måleparameterne [Lav/Høy] | Innfør KI-verktøy for å kunne trekke enkle slutninger basert på store mengder data [Middels/Høy]
NE-24,29,Struktur,Måling,Bruk av målstyring,Hva er status for bruk av målstyring i virksomheten?,"Dette emnet er også noe prematurt for virksomheten. Det er noen milepæler lagt for dette året som må oppnås. Disse handler om å hente inn penger, få sendt søknader og bli motivert av å få en første versjon i drift. Dagen første demo skal vises motiverer. Ellers er det oppmerksomhet på økonomi og lønnsomhet.","Å ha en bevisst policy ift håndtering av måling og formidling av resultater er avgjørende for uniform bruk av disse. En konsekvens ved å bruke målstyringen på en lite gjennomtenkt måte, kan være at det har motsatt effekt",Definér i lederhåndboka hvordan mål skal benyttes. Bruke SMARTE mål og utvikle KPI’er [Lav/Middels] | Involver medarbeiderne for å skape forankring [Middels/Høy]
NE-25,30,Struktur,Strategi,Kommunikasjon om strategi,Hva er status for kommunikasjon om strategi i virksomheten?,"På sikt skal det forankres en verdibasert strategi der de ansatte kjenner denne og er forankret i ledergruppen. Skal utvikles når tiden er moden for det, da flere i ledergruppen har kompetanse fra større virksomheter.","Å benytte strategi bevisst og gjennomtenkt, kan for mange, i møte med virksomhetens kultur være en styrke. Å sørge for at hver og en forstår sin betydning ift etterlevelse av en strategi bidrar gjerne til at man føler seg involvert. Dette er viktig både ved lansering og ved vedlikehold av strategien.",Gjennomfør strategiprosesser utover i virksomheten [Middels/Middels] | Definer en tydelig og kortfattet visjon [Lav/Middels] | Knytt daglige oppgaver til strategien [Middels/Middels] | Skap 2-veiskommunikasjon [Middels/Høy]
NE-26,31,Struktur,Strategi,Etterlevelse strategi,Hva er status for etterlevelse strategi i virksomheten?,"CEO har hatt fri fra jobb i 1,5 år nå og siden det begynner å knipe på kapital oppleves det som noe hastverk. Slik er det å være en oppstartsbedrift og sårbar mot “Nei!”.","Når året er over må fjorårets etterlevelse av strategien evalueres. Se gjerne etter om bruk av penger og beslutninger understøtter strategien og om det er avvik, hva disse kommer av og om det er læringspunkter eller behov for å gjøre endringer på strategien.",Gjennomfør evaluering av fjorårets strategi [Lav/Middels] | Jevnlig avviksanalyse (budsjett vs. regnskap) [Middels/Middels] | Rullerende prognoser (oppdateringer) [Middels/Middels] | Involver organisasjonen [Høy/Middels] | Gjennomfør risikovurderinger [Lav/Middels]
NE-27,32,Struktur,Budsjett,Budsjettets fleksibilitet,Hva er status for budsjettets fleksibilitet i virksomheten?,Virksomheten har et budsjett og et bevisst forhold til å justere dette basert etter eventuelle midler som dukker opp som de ikke visste om da budsjettet ble laget.,"Et budsjett kan legges opp mot 2år før neste periode er fullført. Dermed kan ulike endringer i markedet ha ført til at budsjettet blir meningsløst å bruke som styrings- verktøy. I praksis kan dette gjelde valutaendringer, dieselpriser som endrer seg, politiske endringer, nye lover og regler, plutselig arbeidsledighet eller store endringer i tilbud og etterspørsel.",Gjennomfør risikovurdering for mer fleksibelt budsjetter [Middels/Middels] | Evaluer endringer på budsjett som gjøres [Lav/Middels]
NE-28,33,Struktur,Budsjett,Budsjett for forbedring,Hva er status for budsjett for forbedring i virksomheten?,"Etter en god prat om hvordan budsjett kan benyttes for å styre innsats og resultat, kom man frem til at virksomheten er i en for tidlig fase med tanke på (manglende) omsetning. Det er ikke ønske om å forandre produktet, men forbedringer på budsjettet kan gjøre dem kjappere og gi en tydeligere identitet.","Budsjett er et av flere styringsverktøy for å sikre sunn drift for neste periode. Virksomheter som jobber grundig med budsjettprosesser og med dem har resultat- ansvar, opplever at eierskapet til budsjettet vokser. Dette inkluderer at aktørene også har mulighet til å legge inn forslag til forbedring.","Legg en plan for å inkludere ledere med resultatansvar, for å avklare behov for forbedringer på budsjettet [Middels/Høy] | Gjennomfør undersøkelse mot ledere med resultatansvar om deres påvirkning av forbedringer [Middels/Middels] | Introduser løsninger basert på KI for å se på hvordan budsjettet aktivt kan brukes til forbedringer [Lav/Middels]"
NE-29,34,Struktur,Skjema,Effektive bedriftssystemer,Hva er status for effektive bedriftssystemer i virksomheten?,"Det er pt. “ikke så mye å holde styr på”, men på sikt vurdere noe annet enn Tripletex. Dette vil ha med økt antall transaksjoner. Foreløpig ikke behov for CRM. Det er heller ikke lønnsutbetalinger pt. Microsoft er implementert i tillegg til kontoer på LinkedIn og Facebook.","Å ha effektive systemer for å håndtere kunder, ordre, drift, økonomi, ansatte, administrasjon, dokumenter, sikkerhet, avvik osv. kan være avgjørende i kampen mot konkurrentene. Her inkluderes også utviklingsplan av disse for å følge med i tiden.",Kartlegging av virksomhetens bedriftssystemer [Lav/Middels] | Risikovurdering av bedriftssystemene [Middels/Middels] | Kompetansekartlegging av brukere av bedriftssystem [Middels/Middels] | Investerings- og utviklingsplan av bedriftssystemene [Middels/Middels]
NE-30,35,Struktur,Skjema,Sjekkliste for oppgave,Hva er status for sjekkliste for oppgave i virksomheten?,I hvilken grad det skal være sjekklister for oppgaver avhenger av oppgaven. Et eksempel på dette kan være søknadsprosesser.,"Det er en balansegang for de fleste virksomheter mellom å overstyre ansatte med evig mange sjekklister, instrukser og rutiner og det å la oppgaveløsing være en viktig del av mestringsfølelse. Vurdér faktorer som dokumentasjonsplikt, frekvens, kompleksitet, variasjon, om oppgaven går på rundgang ol. før det lages en sjekkliste av oppgaven.","Kartlegg hva som finnes av sjekklister i virksomheten, sett i lys av personal- eller instruksjonshåndbøker [Lav/Middels] | Avklar hva som skal til for å lage en sjekkliste [Lav/Middels]"
NE-31,36,Struktur,Skjema,Relevant rapportering,Hva er status for relevant rapportering i virksomheten?,"Rapportering er viktig for virksomheten for blant annet å sikre troverdighet, sørge for pliktig dokumentasjon og sikre bevis. Dette vil brukes i månedlige rapporter mot interessenter og partnere/investorer. Det er mål å bevise progresjon overfor de man er på radaren hos. Her er også egen forpliktelse avgjørende.","Hva som skal rapporteres og ikke, hvem som skal rapportere til hvem, når og ikke kan være krevende å lage en struktur på. For mye rapportering vil stjele produksjons-tid, oppleves som meningsløst, kan være provoserende og ende opp som provoserende. For lite rapportering kan på en annen side føre til at beslutninger tas på feil grunnlag og blir dårlige.","Kartlegg rapporteringsoppgavene, hvem som rapporterer hva til hvem, med begrunnelse om hvorfor rapporteringen skjer og når den skal vurderes på nytt [Middels/Middels] | Innfør interne KI-verktøy som samler data og effektivt presenterer dette for ledergruppen og andre [Lav/Middels]"
NE-32,37,Menneske,Trygghet,Rasjonalitet,Hva er status for rasjonalitet i virksomheten?,"Det er viktig for virksomheten å ha fart for dette skaper en følelse av formål. Videre er det fornuftig, konkret og inspirerende å ha et tydelig formål.","Noen oppgaver er ufornuftige, mens andre er knyttet til fornuft. Målet med å jobbe rasjonelt vil være å sikre at ledelsen sørge for klare følelser av fornuft og kloke avgjørelser. Å ha en løpende oversikt kan være bra for både virksomheten og de som er tilknyttet.",Kartlegg hva de enkelte faktisk gjør og avdekk om det er ufornuftige oppgaver [Lav/Middels] | Forankre sikkerhet i ledelsen og virksomhetsstyringen [Lav/Middels] | Gjennomfør risikovurderinger [Lav/Middels] | Bygge en sterk sikkerhetskultur [Middels/Middels] | Etabler beredskap og delta på øvelser [Høy/Middels]
NE-33,38,Menneske,Trygghet,Omsorg,Hva er status for omsorg i virksomheten?,Det vil være viktig å gjøre de ansattes innsats synlig for å bygge yrkesstolthet. Dette gjelder spesielt yngre arbeidstakere. Internt skal vi jobbe for å unngå fordommer og heller se hverandres innsats. Innsats vil være viktigere enn resultatet.,Å være bevist på omsorg som en faktor for å sikre at alle medarbeiderne har det bra kan være krevende. Det viser seg at ulike medarbeidere opplever omsorg på ulike måter. Konsekvensene av å feile her kan over tid føre til at arbeidsklimaet og -miljøet utvikler seg i en retning som man egentlig ønsker.,Definer verdibegrep for virksomheten [Lav/Middels] | Gjennomfør spørreundersøkelse der dere får avdekket hvordan det står til med omsorg i virksomheten [Middels/Lav]
NE-34,39,Menneske,Trygghet,Menneskeverdt,Hva er status for menneskeverdt i virksomheten?,"Ledelsen skal styrke de ansattes selvtillit og akseptere andres personlige verdi gjennom å legge tydelige føringer for hvordan man vil ha det i selskapet. Vil jobbe med verdier, eksponere seg som leder, by på seg selv, innrømme feil og ære den som bør æres. Det er en styrke at gründergruppen er ulike også i personlige verdier.","Å ha et bevisst forhold til menneskeverd vil kunne bidra til et solid grunnlag for beslutninger og prioriteringer. Dette vil kunne peke direkte tilbake på hvordan virksomheten blir omtalt blant sine kontakter. Å føre et lavt, men allikevel lovlig menneskeverd, kan gjøre virksomheten mindre attraktiv for både nye og eksisterende ansatte.",Utvikle en solid personalstrategi [Middels/Middels] | Undersøk blant ansatte i hvilken grad de opplever menneskeverdt ivaretatt [Lav/Lav]
NE-35,40,Menneske,Trygghet,Kreativitet,Hva er status for kreativitet i virksomheten?,Dette med kreativitet oppleves som vesentlig. Det snakkes om å unngå rigide systemer og heller stole på hverandre gjennom å tildele ansvar. På den måten også bygge selvfølelse.,"Utvikling er gjerne tuftet på innovasjon som baseres på kreative initiativ. Virksomheter er gjerne avhengig av en grad kreativitet, samtidig som at ukontrollert kreativitet fort kan skape mange former for stress. Gjelder både de som eksponeres for kreative krefter i tid og utid, samt de som brenner inne med gode ideer uten noen gang å bli hørt.",Etabler kreative arenaer [Lav/Middels] | Gjennomfør opplæring i kreative prosesser [Middels/Middels] | Kartlegg kreative initiativ som har gitt solide resultater [Lav/Lav]
NE-36,41,Menneske,Trygghet,Nysgjerrighet,Hva er status for nysgjerrighet i virksomheten?,"Her ble det pekt på eksempler fra tømrerbransjen der en motiverer gjennom å lage gode løsninger for lønn, stiller spørsmål og utfordrer. CEO: «Det er ikke så vanskelig. De er født med hjerne.» En må tåle å bli misforstått og innse at en ikke eier sannheten.","Både sett i lys av kvalitetsarbeid og motivasjonsteorier er det verdifullt å ha innsikt i eget arbeid, leddene før og gjerne også leddene etter. Dette gir en følelse av å forstå helheten og kan stimulere på mange ulike måter.","Verdikjedeanalyse [Lav/Middels] | Undersøke hvilke ansatte som har hvilken innsikt i eget virke, kunnskapsgap og -hunger [Lav/Middels] | Kjør opplæring i bruk av KI-verktøy for å få inspirasjon til hvordan stimulere nysgjerrigheten [Lav/Middels]"
NE-37,42,Menneske,Trygghet,Oppmerksomhet,Hva er status for oppmerksomhet i virksomheten?,"Virksomheten ser for seg å stille seg ydmyk ift ny kompetanse og ønsker å være åpen for innspill og diskusjon. Sett i lys av at visjonen og kongstanken er krystallklar, skal det legges til rette for pragmatiske rammer for hvordan man kommer seg til det langsiktige målet.","Det er en normal misforståelse at daglig leder og sikkerhetsansvarlig ivaretar sikkerheten. Dette stemmer ikke mer enn at disse rollene inkluderer et ansvar for å koordinere ulike sikkerhetstiltak utover risikovurdering og etterlevelse av krav og sertifiseringer. Det at hver og en ansatt følger med på omgivelsene for å se etter unaturligheter, farer og trusler gir derfor enorm effekt og bør settes i et system.",Utvikle enkle kanaler for å varsle om uregelmessigheter [Lav/Middels] | Gjennomfør sikkerhetsbriefinger og mikrotrening [Middels/Middels] | Involver ansatte i risikovurderinger [Lav/Lav] | Sikre tydelig kommunikasjon av rutiner og nulltoleranse [Lav/Middels]
NE-38,43,Menneske,Trygghet,Åpenhet,Hva er status for åpenhet i virksomheten?,"Virksomheten skal jobbe med å ha en åpenhet for ideer, til tross for at de som individer er ulike. Emnet kan virke noe vrient å sette ord på.",Oppgaver kan ofte løses på ulike måter. Det er også på denne måten utvikling skjer i mange ulike virksomheter. I praksis kan det være snakk om nye kilder til input og hvordan ledelsen stimulerer de ansatte til å fremme åpenhet til nye måter å gjøre ting på.,Kartlegging av forslag på nye tiltak og gjennomføring av disse [Middels/Høy] | Utvikle en prosess for å se i hvilken grad KI kan bidra i utvikling av prosessene konkret [Lav/Middels]
